Subchapter,Publication
4.1,2017-10-19
4.3,2017-10-19
4.4,2017-10-19
4.5,2017-10-19
4.6,2017-10-19
4.9,2017-10-19
4.10,2017-10-19
5.1,2017-10-26
5.2,2017-10-26
5.4,2017-10-26
5.5,2017-10-26
5.6,2017-10-26
5.7,2017-10-26
5.8,2017-10-26
5.9,2017-10-26
5.10,2017-11-02
5.11,2017-11-02
5.12,2017-11-02
5.13,2017-11-02
5.14,2017-11-02
5.15,2017-11-02
6.1,2017-11-09
6.2,2017-11-09
6.3,2017-11-09
6.4,2017-11-09
6.5,2017-11-09
6.6,2017-11-09
6.7,2017-11-09
6.8,2017-11-09
6.9,2017-11-09
7.1,2017-11-16
7.2,2017-11-16
7.3,2017-11-16
7.4,2017-11-16
7.5,2017-11-16
7.6,2017-11-16
7.7,2017-11-16